AEP,Mass,Fatigue,Method
236.2112069280439,9997.19234214711,125.02289415317546,GA
236.19829522368894,9995.917073922665,125.03884443798299,GA
236.09444443809744,9985.801159069895,125.16551252234339,GA
236.09052387530647,9994.638174949912,124.9270929163285,GA
236.08608401126838,9984.434495306092,125.19003536188248,GA
236.0791155570649,9984.28714103013,125.18449262991028,GA
236.0672182769531,9984.03555723977,125.17502968224544,GA
236.04805435118843,9983.63029724452,125.15978743699381,GA
236.04529252512435,9983.571891486636,125.15759083838408,GA
235.99142160944638,9982.432587153953,125.11474756085433,GA
235.9894102962231,9997.998191776649,124.92586144301787,GA
235.98905644334303,9997.96321171964,124.92629852341742,GA
235.9777688346903,9993.654842121108,125.00939918953122,GA
235.94948286832482,9981.545543771721,125.08139726885736,GA
235.84688069873158,9979.37508004473,124.99981903878775,GA
235.80817983859953,9957.38047558944,125.52276405278229,GA
235.79954938932502,9977.153397665985,125.13646064715952,GA
235.79483091943044,9971.677870898373,125.35268943746028,GA
235.77525858840016,9991.335713918992,124.74428017999894,GA
235.69378917681334,9976.135678028868,124.87813008503795,GA
235.69207905866364,9953.649199063542,125.48247500333264,GA
235.61925932734158,9944.796164847512,125.61008336668566,GA
235.61256884492707,9938.093812015231,125.76749674896291,GA
235.59845130426032,9959.350017360808,125.41064774671065,GA
235.54150457626264,9931.10541632818,125.8559977762913,GA
235.5325775126426,9968.581659424737,124.8563511314692,GA
235.52591075197537,9952.179035302423,125.50101162599098,GA
235.48483188593863,9985.180180800324,124.51386216768103,GA
235.38696719994675,9937.214468312408,125.57263448413109,GA
235.36516933462192,9962.927558112986,125.31514017694765,GA
235.31925221536181,9952.646817821522,125.03570945351117,GA
235.31438674824992,9944.480174415492,125.4152639066486,GA
235.29872626810987,9929.72075774005,125.78486014723545,GA
235.27132316790858,9934.773125143025,125.48010636637544,GA
235.24919747300493,9931.139028760152,125.76095547228857,GA
235.22073101203029,9981.709502291762,124.31578544013564,GA
235.17198772215394,9962.690662938208,124.90786723578684,GA
234.96185870771902,9979.314293561458,124.230495517965,GA
234.95947624500295,9979.07818674241,124.23343483426021,GA
234.94311954953488,9928.563863160058,125.74886768370244,GA
234.9431152065991,9949.274107380821,124.6055675642563,GA
234.8217429144986,9958.889037486579,124.2279333739952,GA
234.75192743483342,9936.16486381349,125.1009201458579,GA
234.71169542561285,9857.5489870624,126.70813002799741,GA
234.54832148937854,9862.685652188795,126.5701130217247,GA
234.52868239516692,9935.914481355998,124.40614097500908,GA
234.49105625381776,9957.06926996911,124.38769172001908,GA
234.43470938430988,9978.01890743476,124.18016620877187,GA
234.42942315696305,9964.894476871888,123.68906414047936,GA
234.411521015577,9916.406787602959,125.74587155105587,GA
234.4033425428164,9935.029911113335,124.6483513265502,GA
234.390989384592,9962.310304513388,123.7030934710099,GA
234.37301763701484,9895.815415824905,125.35463171221129,GA
234.28500699072745,9946.26952255479,123.75991899761271,GA
234.24179864565605,9826.417561677483,126.86638566705955,GA
234.23618035597988,9825.862290028112,126.87355504366386,GA
234.23540280319733,9846.43100140347,126.3507483973621,GA
234.1600419965683,9839.276087459195,126.79709173862777,GA
234.14982063655123,9826.333884090263,126.8401996999981,GA
234.13549135304166,9883.589074791269,125.35326285767812,GA
234.11557225415606,9919.116639202695,124.45808921741383,GA
234.07705779129623,9914.827821261462,124.29671980997816,GA
234.06651918620975,9825.656413602217,126.73462962105796,GA
234.01515958932777,9925.033136362157,124.16770663177125,GA
233.97217576352912,9902.226632250886,124.70857082637097,GA
233.93384817117638,9939.986590648976,123.47196645251168,GA
233.9120264341972,9914.803739932675,124.29581412922582,GA
233.90017041506755,9806.68007809585,126.97124974847158,GA
233.8795529550224,9766.89863804425,127.97080898870404,GA
233.8393218572855,9952.348329327497,123.22246564056833,GA
233.7660746049338,9795.946130049748,127.11900513027074,GA
233.75668476479055,9899.395973959003,124.48927247967953,GA
233.75215284324227,9761.221191790479,127.95013130482302,GA
233.6714107191899,9945.476807336969,122.96692865440235,GA
233.67063873629786,9890.861386458797,124.59669129259197,GA
233.60900211997293,9762.683408722967,127.93701122146832,GA
233.51303592962878,9856.370180644833,125.55961987821333,GA
233.505098012751,9902.701092163126,124.21602571956407,GA
233.49006615947724,9833.002117338312,125.99815646179819,GA
233.40986316370274,9934.802127014927,123.77136246842515,GA
233.39382135216192,9818.746288377564,125.90704458417594,GA
233.38376777869453,9794.029939378548,126.71146988985586,GA
233.2454811420888,9852.40450759868,125.46399136099159,GA
233.23812048550158,9752.375823453307,128.03811371573562,GA
233.17855964531563,9771.462887073983,127.38689752677813,GA
233.17299736694198,9766.464437275385,127.19513305333834,GA
233.0977037953254,9801.954498124323,125.9496995923138,GA
232.99590581268336,9728.330116863242,128.30444322188976,GA
232.9775956440832,9834.276128055724,125.27143857189398,GA
232.96336065839822,9934.606517766852,123.32506632065937,GA
232.94095775628656,9788.720539823476,126.4798540959428,GA
232.93417381587085,9803.095141809925,125.71219446095218,GA
232.8541182131262,9819.227604774382,125.15684951480438,GA
232.84757255294824,9664.756445643408,129.3346396033983,GA
232.83391401336937,9679.383538820395,129.03525824247237,GA
232.82153075278603,9909.98777519838,123.63143481766059,GA
232.70944766571486,9652.149867065194,129.5035623117587,GA
232.66140737376995,9874.138048855248,123.76408513017513,GA
232.64101378944164,9866.870167056455,123.85043142069702,GA
232.5675195734934,9790.800805976429,125.520232311559,GA
232.4826410513122,9786.584455756316,126.57692807417764,GA
232.45528117027612,9699.839354509902,128.3275213113364,GA
232.41552545559156,9670.682993070996,128.68761162213977,GA
232.40772487706542,9655.121606457005,129.1004144727922,GA
232.40556187467337,9716.246227160113,127.92135083346174,GA
232.37880930823886,9669.919093487788,128.65711843526782,GA
232.3392451985575,9701.143095018473,127.63231531424464,GA
232.24165030693365,9756.661595282427,127.22235474048176,GA
232.20848162100722,9604.58681854554,130.0961540050399,GA
232.16314314999804,9659.270480523573,128.87537404398634,GA
232.16251938426916,9904.274815188048,122.41424702463124,GA
232.14155834031754,9772.01267837774,125.67737196086595,GA
